,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
688712,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688729,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688750,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688767,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688818,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688825,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
688831,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688834,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688838,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688845,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
688855,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
688866,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688881,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
688891,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688906,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688920,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
688933,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689017,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
689030,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
689049,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689064,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
689068,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689070,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689074,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689084,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689089,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689091,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
689092,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689109,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
689123,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689128,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
689144,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
689147,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689155,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
689168,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689186,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689190,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689207,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
689214,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689217,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689222,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
689227,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
689250,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
