,AccountId,Score,Percentage
682,595282,5,23.80952381
683,595498,6,28.57142857
685,595519,10,47.61904762
686,595780,10,47.61904762
687,595926,6,28.57142857
688,596310,5,23.80952381
689,597684,8,38.0952381
690,598319,5,23.80952381
692,599043,5,23.80952381
694,599858,21,100.0
695,600028,6,28.57142857
696,600599,9,42.85714286
697,600757,6,28.57142857
698,600779,21,100.0
699,601075,7,33.33333333
700,601166,6,28.57142857
701,601459,9,42.85714286
702,602294,5,23.80952381
703,602698,7,33.33333333
704,602758,4,19.04761905
706,602826,6,28.57142857
707,602840,9,42.85714286
708,602842,10,47.61904762
709,603050,18,85.71428571
710,603193,9,42.85714286
711,603240,21,100.0
712,603358,9,42.85714286
713,603921,7,33.33333333
714,604700,21,100.0
715,604838,8,38.0952381
716,605156,5,23.80952381
717,605427,6,28.57142857
718,605945,8,38.0952381
719,606267,21,100.0
720,606365,21,100.0
721,606648,10,47.61904762
722,606765,5,23.80952381
723,606977,9,42.85714286
724,607036,6,28.57142857
725,607376,6,28.57142857
726,607563,21,100.0
727,608052,8,38.0952381
728,608224,6,28.57142857
729,608269,15,71.42857143
730,608698,21,100.0
731,609549,9,42.85714286
732,609633,6,28.57142857
733,609745,5,23.80952381
734,609881,5,23.80952381
735,610185,9,42.85714286
736,610277,8,38.0952381
737,610281,7,33.33333333
738,611834,9,42.85714286
739,612142,4,19.04761905
740,612246,12,57.14285714
741,612517,12,57.14285714
742,612746,6,28.57142857
743,612763,10,47.61904762
744,612858,6,28.57142857
745,614059,12,57.14285714
746,614112,20,95.23809524
747,614126,6,28.57142857
748,614216,5,23.80952381
749,614981,8,38.0952381
750,615674,21,100.0
751,616009,8,38.0952381
752,616942,6,28.57142857
753,617427,0,0.0
754,618126,10,47.61904762
755,618412,7,33.33333333
756,619540,5,23.80952381
757,619977,6,28.57142857
758,620542,8,38.0952381
759,620986,9,42.85714286
761,621123,5,23.80952381
762,621361,6,28.57142857
763,621898,10,47.61904762
764,621918,8,38.0952381
765,621948,10,47.61904762
766,622123,9,42.85714286
767,622205,10,47.61904762
768,622355,9,42.85714286
769,623155,21,100.0
770,623553,11,52.38095238
771,623558,6,28.57142857
772,624294,6,28.57142857
773,624422,2,9.523809524
774,624971,8,38.0952381
775,625246,6,28.57142857
776,625335,11,52.38095238
777,625524,6,28.57142857
778,626004,9,42.85714286
779,626232,21,100.0
780,626470,10,47.61904762
781,626595,9,42.85714286
782,627045,9,42.85714286
783,627473,21,100.0
784,627748,8,38.0952381
785,628058,21,100.0
786,628254,8,38.0952381
787,628353,6,28.57142857
788,628455,21,100.0
789,628996,21,100.0
790,629115,7,33.33333333
791,629243,6,28.57142857
792,629303,4,19.04761905
793,629425,20,95.23809524
794,629457,7,33.33333333
795,629978,13,61.9047619
796,630252,6,28.57142857
797,630330,6,28.57142857
798,630414,6,28.57142857
799,630810,8,38.0952381
800,630919,21,100.0
801,630920,10,47.61904762
802,631094,6,28.57142857
803,631320,10,47.61904762
804,632129,7,33.33333333
805,632494,9,42.85714286
806,632875,9,42.85714286
807,632925,21,100.0
808,633515,10,47.61904762
809,633553,8,38.0952381
810,633637,7,33.33333333
811,633954,8,38.0952381
812,634017,5,23.80952381
813,634044,8,38.0952381
814,634045,9,42.85714286
815,634392,21,100.0
816,634636,5,23.80952381
817,634665,10,47.61904762
818,634755,5,23.80952381
819,635039,8,38.0952381
820,635452,6,28.57142857
821,635457,8,38.0952381
822,635573,6,28.57142857
823,635824,5,23.80952381
824,635834,9,42.85714286
825,636011,5,23.80952381
826,636660,21,100.0
827,636818,5,23.80952381
828,636888,8,38.0952381
829,637400,9,42.85714286
830,638031,19,90.47619048
831,638070,5,23.80952381
832,638085,7,33.33333333
833,638487,8,38.0952381
834,638679,6,28.57142857
835,638814,21,100.0
836,638909,6,28.57142857
837,639785,10,47.61904762
838,640409,21,100.0
839,640453,8,38.0952381
840,640623,10,47.61904762
841,640768,6,28.57142857
842,640876,7,33.33333333
843,641246,8,38.0952381
844,642060,9,42.85714286
845,642787,9,42.85714286
846,642954,5,23.80952381
847,642958,7,33.33333333
848,643655,9,42.85714286
849,643698,8,38.0952381
851,643727,9,42.85714286
852,644257,21,100.0
853,644533,6,28.57142857
855,644585,8,38.0952381
856,644853,6,28.57142857
857,645031,10,47.61904762
858,645066,6,28.57142857
859,645081,8,38.0952381
860,645115,6,28.57142857
861,645835,8,38.0952381
862,646174,4,19.04761905
863,646202,5,23.80952381
864,646624,8,38.0952381
865,646750,12,57.14285714
866,646837,20,95.23809524
867,646876,6,28.57142857
868,647066,5,23.80952381
869,647076,5,23.80952381
870,647165,5,23.80952381
871,647198,6,28.57142857
872,647219,9,42.85714286
873,647265,10,47.61904762
874,647669,4,19.04761905
875,647728,7,33.33333333
876,647757,6,28.57142857
877,647833,6,28.57142857
878,647836,10,47.61904762
879,648374,6,28.57142857
880,648784,17,80.95238095
881,648900,6,28.57142857
882,648903,21,100.0
883,648992,5,23.80952381
884,649101,8,38.0952381
885,649311,8,38.0952381
886,649742,10,47.61904762
887,649980,8,38.0952381
888,650843,6,28.57142857
889,650909,7,33.33333333
890,651416,6,28.57142857
891,651904,5,23.80952381
892,652213,6,28.57142857
894,652522,8,38.0952381
895,652718,6,28.57142857
899,653197,6,28.57142857
900,653340,8,38.0952381
901,653399,8,38.0952381
902,654694,21,100.0
903,654987,6,28.57142857
904,654988,5,23.80952381
905,655037,9,42.85714286
906,655038,7,33.33333333
907,655302,21,100.0
908,655358,9,42.85714286
909,655633,5,23.80952381
910,655635,21,100.0
911,655643,4,19.04761905
918,655646,5,23.80952381
920,655833,6,28.57142857
922,655843,7,33.33333333
923,655849,8,38.0952381
924,655865,5,23.80952381
925,655915,7,33.33333333
926,655920,9,42.85714286
927,656154,5,23.80952381
928,656198,12,57.14285714
929,656223,6,28.57142857
930,656235,21,100.0
931,656236,4,19.04761905
932,656237,6,28.57142857
934,656238,6,28.57142857
935,656239,11,52.38095238
936,656370,7,33.33333333
937,656412,0,0.0
938,656429,11,52.38095238
939,656432,6,28.57142857
940,656442,10,47.61904762
941,656444,9,42.85714286
942,656457,6,28.57142857
943,656474,5,23.80952381
944,656476,5,23.80952381
945,656481,6,28.57142857
946,656495,8,38.0952381
947,656502,6,28.57142857
948,656508,6,28.57142857
949,656513,8,38.0952381
950,656522,6,28.57142857
951,656541,11,52.38095238
952,656543,6,28.57142857
953,656554,6,28.57142857
954,656556,6,28.57142857
955,656557,21,100.0
956,656559,5,23.80952381
957,656561,6,28.57142857
958,656562,6,28.57142857
959,656563,9,42.85714286
960,656570,6,28.57142857
962,656572,6,28.57142857
963,656581,6,28.57142857
964,656603,6,28.57142857
965,656626,10,47.61904762
966,656649,21,100.0
967,656651,11,52.38095238
968,656665,5,23.80952381
969,656689,8,38.0952381
970,656696,12,57.14285714
971,656725,4,19.04761905
972,656754,8,38.0952381
973,656780,12,57.14285714
974,656785,6,28.57142857
975,656808,10,47.61904762
976,656820,5,23.80952381
977,656835,11,52.38095238
978,656839,6,28.57142857
979,656851,5,23.80952381
980,656855,5,23.80952381
981,656897,6,28.57142857
982,656898,6,28.57142857
983,656911,12,57.14285714
984,656914,7,33.33333333
985,656926,7,33.33333333
986,656942,3,14.28571429
987,656944,9,42.85714286
988,656946,6,28.57142857
989,656947,5,23.80952381
990,656956,5,23.80952381
991,656971,8,38.0952381
992,656992,9,42.85714286
993,657028,5,23.80952381
994,657055,5,23.80952381
995,657068,3,14.28571429
996,657082,10,47.61904762
997,657106,9,42.85714286
998,657110,7,33.33333333
999,657122,9,42.85714286
1000,657136,21,100.0
1001,657163,21,100.0
1002,657173,20,95.23809524
1003,657252,6,28.57142857
1004,657265,11,52.38095238
1005,657275,6,28.57142857
1006,657280,9,42.85714286
1007,657281,21,100.0
1008,657289,10,47.61904762
1009,657299,5,23.80952381
1010,657312,21,100.0
1012,657318,9,42.85714286
1014,657331,21,100.0
1015,657343,15,71.42857143
1016,657350,6,28.57142857
1017,657354,5,23.80952381
1019,657356,6,28.57142857
1020,657359,5,23.80952381
1021,657367,6,28.57142857
1022,657378,8,38.0952381
1023,657389,5,23.80952381
1024,657391,21,100.0
1025,657394,5,23.80952381
1026,657397,8,38.0952381
1027,657402,6,28.57142857
1028,657412,20,95.23809524
1029,657418,5,23.80952381
1030,657423,20,95.23809524
1031,657429,9,42.85714286
1032,657451,7,33.33333333
1033,657454,21,100.0
1034,657459,10,47.61904762
1035,657462,8,38.0952381
1036,657464,8,38.0952381
1037,657472,5,23.80952381
1038,657481,0,0.0
1039,657484,6,28.57142857
1040,657486,10,47.61904762
1041,657490,0,0.0
1042,657497,21,100.0
1043,657510,21,100.0
1044,657512,9,42.85714286
1045,657513,3,14.28571429
1046,657514,6,28.57142857
1047,657520,8,38.0952381
1048,657560,8,38.0952381
1049,657568,6,28.57142857
1051,657618,6,28.57142857
1052,657624,9,42.85714286
1053,657639,7,33.33333333
1054,657671,7,33.33333333
1055,657741,21,100.0
1056,657744,5,23.80952381
1057,657746,6,28.57142857
1058,657768,6,28.57142857
1059,657774,6,28.57142857
1061,657796,9,42.85714286
1062,657797,6,28.57142857
1063,657798,7,33.33333333
1064,657805,2,9.523809524
1065,657806,5,23.80952381
1066,657808,7,33.33333333
1067,657810,6,28.57142857
1068,657813,9,42.85714286
1069,657814,3,14.28571429
1071,657823,7,33.33333333
1072,657852,6,28.57142857
1073,657870,21,100.0
1074,657893,6,28.57142857
1075,657895,8,38.0952381
1076,657928,5,23.80952381
1077,657936,10,47.61904762
1078,657949,9,42.85714286
